Name,Desc
Burning Blood,"At the end of combat, heal 6 HP. Your body's own blood burns with an undying rage."
Cracked Core,"At the start of each combat, Channel 1 Lightning . The mysterious life force which powers the Automatons within the Spire. It appears to be cracked."
Pure Water,"At the start of each combat, add 1 Miracle into your hand. Filtered through fine sand and free of impurities."
Ring of the Snake,"At the start of each combat, draw 2 additional cards. Made from a fossilized snake. Represents great skill as a huntress."
Akabeko,Your first Attack each combat deals 8 additional damage Muuu~
Anchor,"Start each combat with 10 Block . Holding this miniature trinket, you feel heavier and more stable."
Ancient Tea Set,"Whenever you enter a Rest Site, start the next combat with 2 extra Energy . The key to a refreshing night's rest."
Art of War,"If you do not play any Attacks during your turn, gain an additional Energy next turn. This ancient manuscript contains wisdom from a past age."
Bag of Marbles,"At the start of each combat, apply 1 Vulnerable to ALL enemies. A once popular toy in the City. Useful for throwing enemies off balance."
Bag of Preparation,"At the start of each combat, draw 2 additional cards. Oversized adventurer's pack. Has many pockets and straps."
Blood Vial,"At the start of each combat, heal 2 HP. A vial containing the blood of a pure and elder vampire."
Bronze Scales,Start each combat with 3 Thorns . The sharp scales of the Guardian. Rearranges itself to protect its user.
Centennial Puzzle,"The first time you lose HP each combat, draw 3 cards. Upon solving the puzzle you feel a powerful warmth in your chest."
Ceramic Fish,"Whenever you add a card to your deck, gain 9 Gold . Meticulously painted, these fish were revered to bring great fortune."
Damaru,"At the start of your turn, gain 1 Mantra . The sound of the small drum keeps your mind awake, revealing a path forward."
Data Disk,Start each combat with 1 Focus . This disk contains precious data on birds and snakes.
Dream Catcher,"Whenever you Rest, you may add a card to your deck. The northern tribes would often use dream catchers at night, believing they led to self improvement."
Happy Flower,"Every 3 turns, gain 1 Energy . This unceasingly joyous plant is a popular novelty item among nobles."
Juzu Bracelet,Regular enemy combats are no longer encountered in ? rooms. A ward against the unknown.
Lantern,Gain 1 Energy on the first turn of each combat. An eerie lantern which illuminates only for the wielder.
Maw Bank,"Whenever you climb a floor, gain 12 Gold . No longer works when you spend any Gold at a shop. Surprisingly popular, despite maw attacks being a regular occurrence."
Meal Ticket,"Whenever you enter a shop, heal 15 HP. Complimentary meatballs with every visit!"
Nunchaku,"Every time you play 10 Attacks , gain 1 Energy . A good training tool. Improves the posture and agility of the wielder."
Oddly Smooth Stone,"At the start of each combat, gain 1 Dexterity . You have never seen something so smooth and pristine. This must be the work of the Ancients."
Omamori,Negate the next 2 Curses you obtain. A common charm for staving off vile spirits. This one seems to possess a spark of divine energy.
Orichalcum,"If you end your turn without Block , gain 6 Block . A green tinted metal of an unknown origin. Seemingly indestructible."
Pen Nib,"Every 10th Attack you play deals double damage. Holding the nib, you can see everyone ever slain by a previous owner of the pen. A violent history."
Potion Belt,"Upon pickup, gain 2 Potion slots. I can hold more Potions using this belt!"
Preserved Insect,Enemies in Elite combats have 25% less HP. The insect seems to create a shrinking aura that targets particularly large enemies.
Red Skull,"While your HP is at or below 50%, you have 3 additional Strength . A small skull covered in ornamental paint."
Regal Pillow,"Whenever you Rest, heal an additional 15 HP. Now you can get a proper night's rest."
Smiling Mask,The merchant's card removal service now always costs 50 Gold . Mask worn by the merchant. He must have spares...
Snecko Skull,"Whenever you apply Poison , apply an additional 1 Poison . A snecko skull in pristine condition. Mysteriously clean and smooth, dirt and grime fall off inexplicably."
Strawberry,"Upon pickup, raise your Max HP by 7. ""Delicious! Haven't seen any of these since the blight."" - Ranwid"
The Boot,"Whenever you would deal 4 or less unblocked Attack damage, increase it to 5. When wound up, the boot grows larger in size."
Tiny Chest,"Every 4th ? room is a Treasure room. ""A fine prototype."" - The Architect"
Toy Ornithopter,"Whenever you use a potion , heal 5 HP. ""This little toy is the perfect companion for the lone adventurer!"""
Vajra,"At the start of each combat, gain 1 Strength . An ornamental relic given to warriors displaying glory in battle."
War Paint,"Upon pick up, Upgrade 2 random Skills . In the past, Ironclads would create wards using enchanted war paint before charging into battle."
Whetstone,"Upon pickup, Upgrade 2 random Attacks . ""Flesh never beats steel."" - Kublai the Great"
Blue Candle,"Unplayable Curse cards can now be played. Whenever you play a Curse , lose 1 HP and Exhaust it. The flame ignites when shrouded in darkness."
Bottled Flame,"Upon pickup, choose an Attack card. At the start of each combat, this card will be in your hand. Inside the bottle resides a flame that eternally burns."
Bottled Lightning,"Upon pickup, choose a Skill card. At the start of each combat, this card will be in your hand. Peering into the swirling maelstrom, you see a part of yourself staring back."
Bottled Tornado,"Upon pickup, choose a Power card. At the start of each combat, this card will be in your hand. The bottle gently hums and whirs."
Darkstone Periapt,"Whenever you obtain a Curse , increase your Max HP by 6 The stone draws power from dark energy, converting it into vitality for the wearer."
Duality,"Whenever you play an Attack , gain 1 temporary Dexterity . ""And the sun was extinguished forever, as if curtains fell before it."" - Zoroth"
Eternal Feather,"For every 5 cards in your deck, heal 3 HP whenever you enter a Rest Site. This feather appears to be completely indestructible. What bird does this possibly come from?"
Frozen Egg,"Whenever you add a Power card to your deck, Upgrade it. The egg lies inert and frozen, never to hatch."
Gold-Plated Cables,"Your rightmost Orb triggers its passive an additional time. ""Interesting! Even automatons are affected by placebo."" - Ranwid"
Gremlin Horn,"Whenever an enemy dies, gain 1 Energy and draw 1 card. ""Gremlin Nobs are capable of growing until the day they die. Remarkable."" - Ranwid"
Horn Cleat,"At the start of your 2nd turn, gain 14 Block . Pleasant to hold in the hand. What was it for?"
Ink Bottle,"Whenever you play 10 cards, draw 1 card. Once exhausted, appears to refill itself in a different color."
Kunai,"Every time you play 3 Attacks in a single turn, gain 1 Dexterity A blade favored by assassins for its lethality at range."
Letter Opener,"Every time you play 3 Skills in a single turn, deal 5 damage to ALL enemies. Unnaturally sharp."
Matryoshka,The next 2 non-boss chests you open contain 2 Relics. A stackable set of painted dolls. The paint depicts an unknown bird with white eyes and blue feathers.
Meat on the Bone,"If your HP is at or below 50% at the end of combat, heal 12 HP. The meat keeps replenishing, never seeming to fully run out."
Mercury Hourglass,"At the start of your turn, deal 3 damage to ALL enemies. An enchanted hourglass that endlessly drips."
Molten Egg,"Whenever you add an Attack card to your deck, Upgrade it. The egg of a Phoenix. It glows red hot with a simmering lava."
Mummified Hand,"Whenever you play a Power card, a random card in your hand costs 0 that turn. Frequently twitches, especially when your pulse is high."
Ninja Scroll,"At the start each combat, add 3 Shivs into your hand. Contains the secrets of assassination."
